breed,weight_kg,age_yr,activity,neutered,allergies,symptoms,conditions,kcal,pct_protein,pct_fat,pct_carb,meal_name,ingredients
doberman,26,4,medium,0,wheat,waxy ears,obesity,1236,29,22,49,Egg & Pumpkin Mix,"pumpkin, quinoa, dairy"
boxer,25,9,medium,0,fish,none,none,2404,29,36,35,Chicken & Sweet Potato,"lentils, lamb, peas"
beagle,48,1,medium,0,beef,diarrhea,diabetes,845,28,21,51,Lamb & Oats,"egg, lentils, mackerel"
yorkshire terrier,54,11,medium,1,beef,itchy paws,arthritis,2372,32,34,34,Egg & Pumpkin Mix,"quinoa, beef, carrot"
beagle,34,2,high,1,soy,waxy ears,arthritis,1626,22,33,45,Lamb & Oats,"barley, peas, rice"
poodle,43,14,medium,0,dairy,soft stool,allergies,1738,37,37,26,Tofu & Veggie Stew,"spinach, lamb, zucchini"
golden retriever,24,4,medium,0,soy,itchy paws,arthritis,1715,39,35,26,Beef & Barley,"quinoa, beef, potato"
yorkshire terrier,28,3,low,0,beef,none,none,2195,21,39,40,Turkey & Rice Bowl,"spinach, beans, turkey"
siberian husky,27,1,high,1,chicken,soft stool,none,2407,36,23,41,Chicken & Sweet Potato,"pumpkin, chicken, zucchini"
poodle,11,5,low,0,chicken,soft stool,none,1218,38,39,23,Duck & Lentils,"barley, turkey, pumpkin"
yorkshire terrier,13,7,low,0,wheat,soft stool,arthritis,1280,32,25,43,Paneer & Veg Mix,"beans, potato, lamb"
labrador retriever,5,2,low,1,fish,waxy ears,arthritis,1519,32,25,43,Turkey & Rice Bowl,"beans, egg, lamb"
poodle,30,5,high,1,none,dry skin,none,1717,20,30,50,Tofu & Veggie Stew,"lentils, turkey, zucchini"
labrador retriever,42,6,low,0,none,none,arthritis,1903,21,36,43,Chicken & Sweet Potato,"chicken, carrot, lamb"
labrador retriever,42,11,low,0,none,itchy paws,arthritis,1926,20,22,58,Mackerel & Quinoa,"carrot, rice, tofu"
yorkshire terrier,58,7,low,1,wheat,diarrhea,diabetes,1163,24,32,44,Turkey & Rice Bowl,"zucchini, quinoa, beef"
pomeranian,48,1,medium,0,chicken,dry skin,obesity,2272,22,22,56,Lamb & Oats,"oats, mackerel, lentils"
rottweiler,26,7,low,0,beef,none,heart disease,1099,26,35,39,Duck & Lentils,"mackerel, pumpkin, chicken"
beagle,48,4,high,1,wheat,waxy ears,arthritis,510,32,34,34,Turkey & Rice Bowl,"potato, mackerel, egg"
poodle,14,8,high,1,none,soft stool,heart disease,686,37,30,33,Paneer & Veg Mix,"dairy, barley, zucchini"
pomeranian,59,13,medium,1,none,diarrhea,heart disease,1225,26,37,37,Tofu & Veggie Stew,"lamb, quinoa, pumpkin"
dachshund,10,4,high,0,soy,none,diabetes,1538,20,34,46,Tofu & Veggie Stew,"egg, zucchini, lentils"
rottweiler,21,6,high,1,none,itchy paws,arthritis,1277,24,24,52,Egg & Pumpkin Mix,"peas, beef, mackerel"
doberman,55,9,medium,1,fish,none,none,1820,36,35,29,Tofu & Veggie Stew,"potato, barley, tofu"
beagle,54,5,low,0,none,dry skin,heart disease,910,27,35,38,Egg & Pumpkin Mix,"spinach, chicken, potato"
shih tzu,42,14,medium,0,soy,vomiting,arthritis,1455,34,36,30,Tofu & Veggie Stew,"dairy, turkey, zucchini"
shih tzu,28,12,low,1,none,dry skin,allergies,1084,39,28,33,Paneer & Veg Mix,"potato, mackerel, lentils"
great dane,55,4,low,1,fish,none,none,1575,23,22,55,Tofu & Veggie Stew,"beans, lamb, carrot"
poodle,14,8,high,0,beef,diarrhea,allergies,2163,21,39,40,Duck & Lentils,"carrot, dairy, tofu"
siberian husky,12,13,medium,0,wheat,none,allergies,1551,24,32,44,Beef & Barley,"beef, spinach, pumpkin"
golden retriever,25,9,high,1,fish,none,heart disease,1076,20,22,58,Mackerel & Quinoa,"rice, mackerel, carrot"
shih tzu,10,4,high,1,soy,waxy ears,allergies,1540,24,26,50,Duck & Lentils,"zucchini, potato, beans"
great dane,25,3,low,0,wheat,itchy paws,diabetes,1874,25,25,50,Tofu & Veggie Stew,"carrot, barley, turkey"
beagle,43,8,high,1,wheat,diarrhea,diabetes,1951,21,28,51,Chicken & Sweet Potato,"mackerel, peas, chicken"
dachshund,28,14,medium,0,soy,none,heart disease,2173,20,31,49,Lamb & Oats,"dairy, salmon, turkey"
boxer,37,5,high,1,chicken,soft stool,arthritis,2354,23,34,43,Beef & Barley,"spinach, beef, egg"
german shepherd,22,2,high,0,none,itchy paws,obesity,1752,26,39,35,Mackerel & Quinoa,"potato, beef, salmon"
labrador retriever,32,10,low,0,fish,dry skin,arthritis,2289,20,22,58,Lamb & Oats,"pumpkin, peas, mackerel"
